title,genre_names,vote_average,vote_count,popularity
American Dream,Documentary,6.0,2.0,0.075885
Best of the Best 3: No Turning Back,Action,5.8,13.0,1.567945
Bob Roberts,"Comedy, Drama",6.5,44.0,3.041772
Cinema Paradiso,"Drama, Romance",8.2,834.0,14.177005
"The Cook, the Thief, His Wife & Her Lover","Crime, Drama",7.3,137.0,5.970136
Dead Tired,Comedy,5.6,9.0,0.665616
Delicatessen,"Comedy, Science Fiction, Fantasy",7.4,320.0,12.565447
The Double Life of Veronique,"Drama, Thriller",7.3,154.0,9.661817
Enchanted April,"Romance, Drama",6.9,25.0,2.400185
Paths of Glory,"Drama, War",8.2,565.0,8.548518
The Grifters,"Crime, Drama",6.5,112.0,10.809693
Hear My Song,"Comedy, Foreign",4.1,4.0,0.003977
The Shooter,Western,5.0,1.0,0.112249
The English Patient,"Drama, Romance, War",7.0,559.0,15.564161
Mediterraneo,"Comedy, Romance, War",7.4,157.0,5.557759
My Left Foot: The Story of Christy Brown,Drama,7.5,208.0,5.841931
"Sex, Lies, and Videotape",Drama,6.7,188.0,12.293656
Passion Fish,Drama,6.7,7.0,5.367604
Strictly Ballroom,"Comedy, Drama, Romance",6.2,83.0,3.233531
The Thin Blue Line,"Mystery, Documentary, Crime",7.9,109.0,5.070224
Tie Me Up! Tie Me Down!,"Comedy, Crime, Drama, Romance",7.0,102.0,10.788319
Madonna: Truth or Dare,"Documentary, Music",6.3,32.0,1.325299
Paris is Burning,Documentary,8.2,67.0,4.101295
One Flew Over the Cuckoo's Nest,Drama,8.3,3001.0,35.529554
Up in Smoke,Comedy,6.7,201.0,7.194364
The Empire Strikes Back,"Adventure, Action, Science Fiction",8.2,5998.0,19.470959
The Princess Bride,"Adventure, Family, Fantasy, Comedy, Romance",7.6,1518.0,15.15267
Raiders of the Lost Ark,"Adventure, Action",7.7,3949.0,19.901576
Brazil,"Comedy, Science Fiction",7.6,877.0,9.837287
Aliens,"Horror, Action, Thriller, Science Fiction",7.7,3282.0,21.761179
"The Good, the Bad and the Ugly",Western,8.1,2371.0,16.788787
Withnail & I,"Comedy, Drama",7.4,173.0,14.316459
12 Angry Men,Drama,8.2,2130.0,16.503959
Lawrence of Arabia,"Adventure, Drama, History, War",7.8,870.0,10.893332
A Clockwork Orange,"Science Fiction, Drama",8.0,3432.0,17.112594
To Kill a Mockingbird,"Crime, Drama",7.9,676.0,14.284787
Apocalypse Now,"Drama, War",8.0,2112.0,13.5963
Once Upon a Time in the West,Western,8.1,1160.0,15.589351
Return of the Jedi,"Adventure, Action, Science Fiction",7.9,4763.0,14.586087
Wings of Desire,"Drama, Fantasy, Romance",7.5,256.0,6.357321
The Third Man,"Thriller, Mystery",7.9,431.0,8.513889
GoodFellas,"Drama, Crime",8.2,3211.0,15.424092
Alien,"Horror, Action, Thriller, Science Fiction",7.9,4564.0,23.37742
Army of Darkness,"Fantasy, Horror, Comedy",7.3,852.0,10.704612
The Big Blue,"Adventure, Drama, Romance",7.6,364.0,13.503815
Ran,"Action, Drama, History",7.9,349.0,12.250232
The Killer,"Action, Crime, Drama, Thriller",7.6,179.0,8.019837
Psycho,"Drama, Horror, Thriller",8.3,2405.0,36.826309
The Blues Brothers,"Music, Comedy, Action, Crime",7.5,1092.0,10.076901
The Godfather: Part II,"Drama, Crime",8.3,3418.0,36.629307
Full Metal Jacket,"Drama, War",7.9,2595.0,13.94148
A Grand Day Out,"Adventure, Animation, Comedy, Science Fiction, Family",7.4,199.0,7.617298
Henry V,"War, Drama, History, Action, Romance",7.4,73.0,7.307967
Amadeus,"Drama, History, Music",7.8,1107.0,12.677592
The Quiet Man,"Comedy, Drama, Romance",7.3,118.0,8.762386
Once Upon a Time in America,"Drama, Crime",8.3,1104.0,32.182851
Raging Bull,Drama,7.7,968.0,8.868558
Annie Hall,"Comedy, Drama, Romance",7.8,1044.0,18.146043
The Right Stuff,"Drama, History",7.4,241.0,14.902397
Stalker,"Drama, Science Fiction, Thriller",7.8,356.0,7.787515
Das Boot,"Action, Drama, History, War, Adventure",7.9,623.0,8.80338
The Sting,"Comedy, Crime, Drama",7.9,639.0,12.016821
Harold and Maude,"Comedy, Drama, Romance",7.7,266.0,10.878112
Trust,"Drama, Comedy",6.5,24.0,4.085688
The Seventh Seal,"Fantasy, Drama",7.9,569.0,6.47828
Local Hero,"Comedy, Drama",7.0,81.0,10.636074
The Terminator,"Action, Thriller, Science Fiction",7.4,4208.0,19.293562
Braindead,"Horror, Comedy",7.4,388.0,13.645568
Glory,War,7.4,391.0,7.521346
Rosencrantz & Guildenstern Are Dead,"Comedy, Drama",7.3,75.0,5.088457
Manhattan,"Comedy, Drama, Romance",7.8,600.0,12.050759
Miller's Crossing,"Drama, Thriller, Crime",7.5,431.0,7.495853
Dead Poets Society,Drama,8.1,2786.0,19.905716
The Graduate,Drama,7.6,855.0,12.057829
Touch of Evil,"Drama, Thriller, Crime",7.6,292.0,9.665347
La Femme Nikita,"Action, Thriller",7.0,511.0,6.586401
The Bridge on the River Kwai,"Drama, History, War",7.7,554.0,8.851646
8½,"Fantasy, Drama",7.9,427.0,6.747516
Chinatown,"Crime, Drama, Mystery, Thriller",7.9,939.0,12.29227
The Day the Earth Stood Still,"Drama, Science Fiction, Thriller",7.3,323.0,9.360003
The Treasure of the Sierra Madre,"Action, Adventure, Drama, Western",7.9,285.0,8.070589
Bad Taste,"Action, Comedy, Horror, Science Fiction",6.4,196.0,7.409599
Duck Soup,Comedy,7.6,170.0,6.819957
Better Off Dead...,Comedy,6.8,164.0,8.994189
The Shining,"Horror, Thriller",8.1,3890.0,19.611589
Stand by Me,"Crime, Drama",7.8,1568.0,15.206957
M,"Drama, Action, Thriller, Crime",8.0,465.0,12.752421
Evil Dead II,"Horror, Comedy, Fantasy",7.5,760.0,13.520764
The Great Escape,"Adventure, Drama, History, Thriller, War",7.8,731.0,14.384114
The Deer Hunter,"Drama, War",7.8,943.0,7.729445
Diva,"Action, Drama, Music, Thriller",6.7,37.0,2.211854
Groundhog Day,"Romance, Fantasy, Drama, Comedy",7.4,2358.0,12.989627
Unforgiven,Western,7.7,1133.0,10.942149
The Manchurian Candidate,"Mystery, Thriller",7.7,188.0,7.991677
Pump up the Volume,"Music, Drama",7.0,86.0,4.289341
Arsenic and Old Lace,"Comedy, Crime",7.4,234.0,13.99011
Back to the Future,"Adventure, Comedy, Science Fiction, Family",8.0,6239.0,25.778509
Fried Green Tomatoes,"Drama, Comedy",7.6,298.0,6.584254
Patton,"Drama, History, War",7.3,327.0,14.382289
Down by Law,"Crime, Drama, Comedy",7.2,149.0,8.843551
Akira,"Science Fiction, Animation",7.8,792.0,10.888917
Highlander,"Adventure, Action, Fantasy",6.8,642.0,16.870392
Cool Hand Luke,"Crime, Drama",7.7,390.0,9.718713
Cyrano de Bergerac,"Drama, Comedy, History, Romance",6.8,131.0,5.0399
Young Frankenstein,"Comedy, Science Fiction",7.7,880.0,9.339316
Night on Earth,"Comedy, Drama",7.5,165.0,8.291886
Raise the Red Lantern,Drama,7.8,139.0,7.948888
The Great Dictator,Comedy,8.1,756.0,9.241748
Fantasia,"Animation, Family, Music",7.2,831.0,8.03796
High Noon,Western,7.6,343.0,16.715935
The Big Sleep,"Crime, Drama, Mystery, Thriller",7.6,244.0,6.987617
Heathers,"Thriller, Comedy, Drama",7.3,387.0,13.311827
Somewhere in Time,"Science Fiction, Drama, Fantasy, Romance",7.1,104.0,5.429213
Ben-Hur,"Action, Adventure, Drama, History",7.5,660.0,14.319743
This Is Spinal Tap,"Comedy, Music",7.6,413.0,13.981499
Koyaanisqatsi,"Documentary, Music",7.7,140.0,8.802715
Some Kind of Wonderful,"Drama, Romance",6.9,104.0,10.208658
Indiana Jones and the Last Crusade,"Adventure, Action",7.6,3221.0,14.788987
Being There,"Comedy, Drama",7.7,243.0,12.320636
Gandhi,"Drama, History",7.4,730.0,12.383755
The Unbearable Lightness of Being,"Comedy, Romance",7.0,89.0,6.815147
A Room with a View,"Drama, Romance",6.9,164.0,6.175166
Real Genius,"Comedy, Romance",6.6,121.0,11.959887
Pink Floyd: The Wall,Music,7.7,363.0,6.773407
The Killing Fields,"War, Drama, History",7.5,180.0,11.460364
My Life as a Dog,"Drama, Comedy",7.3,70.0,4.195896
Forbidden Planet,"Adventure, Science Fiction, Action",7.2,238.0,6.379966
Field of Dreams,"Drama, Fantasy",7.1,383.0,16.759454
The Man Who Would Be King,"Adventure, Drama",7.6,148.0,6.189816
Butch Cassidy and the Sundance Kid,"History, Drama, Western, Crime",7.4,659.0,6.714577
"Paris, Texas",Drama,7.7,282.0,11.635837
Until the End of the World,"Thriller, Drama, Science Fiction, Action",6.3,45.0,2.14652
When Harry Met Sally...,"Comedy, Romance, Drama",7.3,974.0,8.34322
I Shot a Man in Vegas,,0.0,0.0,0.005055
Parallel Sons,,5.0,1.0,0.264398
Hype!,"Documentary, Music",6.8,12.0,3.465337
Santa with Muscles,"Family, Comedy",3.5,20.0,7.378936
Female Perversions,"Drama, Romance",5.4,10.0,2.273475
Mad Dog Time,"Drama, Action, Comedy, Crime",6.2,12.0,0.768894
Breathing Room,"Romance, Comedy",0.0,0.0,0.028988
Paris Was a Woman,Documentary,7.0,1.0,0.036471
I'm Not Rappaport,Comedy,6.2,8.0,0.659056
Blue Juice,"Comedy, Romance",3.6,13.0,2.199462
Kids of Survival,,0.0,0.0,0.001178
Alien³,"Science Fiction, Action, Horror",6.2,1664.0,17.126768
An American Werewolf in London,"Horror, Comedy",7.2,571.0,13.390802
Amityville: It's About Time,Horror,4.1,21.0,2.418256
Amityville 3-D,"Horror, Thriller",4.0,40.0,7.893775
Amityville: Dollhouse,Horror,3.5,17.0,2.357522
Amityville: A New Generation,Horror,2.8,17.0,6.401828
Amityville II: The Possession,Horror,5.9,59.0,12.10181
The Amityville Horror,"Drama, Horror, Thriller",6.2,192.0,14.00318
The Amityville Curse,Horror,2.7,19.0,2.416489
Blood for Dracula,Horror,5.8,22.0,1.825571
April Fool's Day,"Horror, Mystery",5.8,74.0,10.301342
Audrey Rose,"Fantasy, Drama, Horror, Thriller",5.8,34.0,5.862098
The Believers,"Crime, Drama, Horror, Mystery, Thriller",6.2,39.0,3.321608
The Birds,Horror,7.3,959.0,11.591462
The Blob,"Horror, Science Fiction",6.2,147.0,7.079055
Blood Beach,"Science Fiction, Horror, Comedy",4.9,18.0,2.232045
Body Parts,"Horror, Thriller",5.6,24.0,3.518972
The Body Snatcher,"Thriller, Horror",6.8,47.0,2.257383
Dracula,"Romance, Horror",7.1,1087.0,16.777675
Bride of Frankenstein,"Horror, Science Fiction",7.4,208.0,7.000417
Burnt Offerings,Horror,6.6,58.0,2.877095
Candyman,"Drama, Horror, Thriller",6.2,303.0,12.721362
Cape Fear,"Crime, Thriller",7.0,692.0,10.302735
Cape Fear,"Drama, Thriller",7.2,125.0,7.583191
Carrie,"Horror, Thriller",7.0,977.0,9.277692
Cat People,"Drama, Fantasy, Horror, Thriller",6.0,97.0,6.126046
A Nightmare on Elm Street,Horror,7.2,1212.0,13.694713
Nosferatu,"Fantasy, Horror",7.7,373.0,7.435873
Vampire in Venice,Horror,8.5,2.0,0.952127
The Omen,"Horror, Thriller",7.2,485.0,16.641277
Blood and Wine,"Crime, Drama, Thriller",5.5,34.0,8.409956
Albino Alligator,"Crime, Drama, Thriller",5.6,45.0,2.363293
The Mirror Has Two Faces,"Comedy, Drama, Romance",6.5,47.0,4.803721
Breaking the Waves,"Drama, Romance",7.2,213.0,8.558688
Nightwatch,"Action, Drama, Horror, Mystery, Thriller",6.2,104.0,6.122067
Star Trek: First Contact,"Science Fiction, Action, Adventure, Thriller",7.0,671.0,8.808497
Shine,Drama,7.3,136.0,11.664053
Sling Blade,Drama,7.4,236.0,9.475693
Jingle All the Way,"Family, Comedy",5.5,583.0,7.898202
Identification of a Woman,"Romance, Drama",5.8,15.0,1.350133
Paradise Lost: The Child Murders at Robin Hood Hills,"Documentary, Drama",7.9,38.0,1.686358
The Preacher's Wife,"Fantasy, Drama, Comedy, Science Fiction, Romance, Family",5.4,55.0,4.182641
Zero Kelvin,"Drama, Thriller",6.4,5.0,0.472335
Ridicule,"Comedy, Drama, Romance",7.4,30.0,10.879283
The Crucible,"Drama, History",6.7,134.0,9.412825
101 Dalmatians,"Comedy, Family",5.6,722.0,11.470748
The Forbidden Christ,Drama,5.5,2.0,0.521422
I Can't Sleep,"Drama, Mystery",5.0,1.0,0.318366
Die Hard 2,"Action, Thriller",6.6,1920.0,18.785984
Star Trek: The Motion Picture,"Science Fiction, Adventure, Mystery",6.2,541.0,8.277765
Star Trek VI: The Undiscovered Country,"Science Fiction, Action, Adventure, Thriller",6.7,421.0,5.90057
Star Trek V: The Final Frontier,"Science Fiction, Action, Adventure, Thriller",5.6,384.0,12.308007
Star Trek II: The Wrath of Khan,"Action, Adventure, Science Fiction, Thriller",7.3,688.0,7.160236
Star Trek III: The Search for Spock,"Science Fiction, Action, Adventure, Thriller",6.4,443.0,6.197298
Star Trek IV: The Voyage Home,"Science Fiction, Adventure",6.9,490.0,12.596956
Batman Returns,"Action, Fantasy",6.6,1706.0,15.001681
Young Guns,"Crime, Action, Adventure, Drama, Western",6.6,262.0,9.905174
Young Guns II,"Western, Adventure",6.3,165.0,11.977636
Grease,Romance,7.2,1633.0,7.854899
Grease 2,"Comedy, Drama, Family, Music, Romance",4.9,185.0,14.202364
Marked for Death,"Action, Thriller",5.6,100.0,5.845712
Adrenalin: Fear the Rush,"Action, Science Fiction, Thriller",3.9,19.0,0.782292
The Substance of Fire,Drama,6.0,1.0,0.757322
Under Siege,"Action, Thriller",6.1,405.0,9.918269
Terror in a Texas Town,"Action, Western",7.1,13.0,0.83621
Jaws,"Horror, Thriller, Adventure",7.5,2628.0,19.726114
Jaws 2,"Horror, Thriller",5.9,412.0,11.21306
Jaws 3-D,"Thriller, Horror",4.2,266.0,16.603041
My Fellow Americans,"Comedy, Drama",6.3,46.0,3.863894
Mars Attacks!,"Comedy, Fantasy, Science Fiction",6.1,1544.0,15.63424
Citizen Ruth,"Drama, Comedy",6.8,27.0,2.225234
Jerry Maguire,"Comedy, Drama, Romance",6.7,941.0,11.807601
Raising Arizona,"Comedy, Crime",7.2,548.0,14.011415
Tin Men,"Comedy, Drama",6.8,38.0,6.477975
Sneakers,"Comedy, Crime, Drama",6.7,301.0,7.207325
Bastard Out of Carolina,Drama,7.3,19.0,1.403309
In Love and War,"Drama, Romance",6.0,28.0,2.369637
Marvin's Room,Drama,6.6,130.0,5.307984
Somebody Is Waiting,Drama,0.0,0.0,0.016374
Ghosts of Mississippi,"History, Drama",6.2,40.0,15.50082
Night Falls on Manhattan,"Drama, Crime",6.6,24.0,1.626239
Beavis and Butt-Head Do America,"Animation, Comedy",6.5,169.0,8.855685
La Cérémonie,"Drama, Thriller",7.0,40.0,3.095894
Scream,"Crime, Horror, Mystery",7.0,1520.0,13.326443
The Last of the Mohicans,"Action, Adventure, Drama, History, Romance, War",7.1,747.0,15.228794
Michael,"Comedy, Drama, Fantasy",5.5,174.0,9.473162
The Evening Star,"Drama, Romance, Family, Comedy",5.8,18.0,8.399114
Hamlet,Drama,7.3,118.0,9.994088
Some Mother's Son,"Drama, History",7.0,6.0,0.332582
The Whole Wide World,"Drama, Romance",6.4,9.0,7.94599
Mother,Comedy,6.8,19.0,7.860965
Thieves,"Romance, Crime, Drama",7.0,5.0,0.365078
Evita,"History, Drama, Music",5.9,122.0,6.709803
The Portrait of a Lady,"Drama, Romance",6.3,46.0,4.13905
Walkabout,"Adventure, Drama",7.4,111.0,10.177086
Message to Love: The Isle of Wight Festival,"Documentary, Music",6.4,4.0,0.330752
Murder at 1600,"Action, Drama, Mystery, Thriller, Crime",5.8,130.0,8.428986
Hearts and Minds,"Drama, Thriller, Documentary, Romance, Foreign",0.0,0.0,0.001202
Inside,"Crime, Drama, TV Movie",0.0,1.0,0.064513
Fierce Creatures,"Comedy, Romance",6.0,95.0,11.036729
Zeus & Roxanne,"Action, Adventure, Comedy, Family, Romance",4.2,16.0,1.034602
Turbulence,"Action, Thriller, Crime",5.2,63.0,5.304043
Angel Baby,Drama,7.7,3.0,0.775616
First Strike,"Action, Adventure, Comedy, Crime, Drama, Thriller",6.5,101.0,9.206356
Underworld,"Drama, Action, Comedy, Thriller",6.0,1.0,0.005555
Beverly Hills Ninja,"Action, Comedy",5.5,176.0,12.16305
Metro,"Action, Adventure, Comedy, Crime, Thriller",5.3,136.0,10.519481
The Machine,"Horror, Thriller, Science Fiction",4.5,2.0,0.935473
Falling in Love Again,"Drama, Romance",6.1,4.0,0.462729
The Cement Garden,Drama,7.2,23.0,15.975485
Dante's Peak,"Action, Adventure, Thriller",5.8,445.0,7.240753
Meet Wally Sparks,Comedy,5.3,10.0,0.576741
Amos & Andrew,"Action, Comedy",5.0,47.0,3.941294
Benny & Joon,"Comedy, Drama, Romance",6.9,220.0,10.597116
Prefontaine,"Drama, Romance",6.7,21.0,2.93818
A Tickle in the Heart,Documentary,0.0,0.0,0.001688
Guantanamera,"Drama, Comedy, Romance, Foreign",8.0,3.0,0.496315
McHale's Navy,"Action, Comedy, Romance",4.4,27.0,2.705804
Kolya,"Music, Drama, Comedy",7.5,46.0,13.947867
Gridlock'd,"Crime, Drama, Comedy",6.8,55.0,10.575081
Fire on the Mountain,Documentary,0.0,0.0,0.001177
Waiting for Guffman,"Music, Comedy",7.4,66.0,8.130999
Prisoner of the Mountains,"Drama, War",6.6,14.0,1.015881
The Beautician and the Beast,"Comedy, Romance",5.2,53.0,7.566377
SubUrbia,"Comedy, Drama",6.4,32.0,8.67935
Hotel de Love,"Comedy, Foreign, Romance",4.3,2.0,0.228157
The Pest,"Action, Comedy",5.0,35.0,3.194883
Fools Rush In,"Drama, Comedy, Romance",5.8,133.0,6.285574
Touch,"Action, Comedy, Drama, Foreign, Romance",6.0,10.0,0.455272
Absolute Power,"Crime, Drama, Thriller",6.4,226.0,7.66124
That Darn Cat,"Comedy, Family",3.9,11.0,1.496999
Vegas Vacation,Comedy,6.0,175.0,9.304901
Unforgotten: Twenty-Five Years After Willowbrook,,7.0,2.0,0.14057
That Old Feeling,"Comedy, Drama, Romance",7.1,15.0,1.954656
Lost Highway,"Drama, Thriller, Mystery",7.5,572.0,8.449722
Rosewood,"Drama, History",6.7,31.0,2.899809
Donnie Brasco,"Crime, Drama, Thriller",7.4,1175.0,12.201954
Salut cousin !,Comedy,3.3,4.0,0.15935
Booty Call,Comedy,5.6,29.0,2.543626
Rhyme & Reason,Documentary,6.3,8.0,0.915041
Boys Life 2,"Drama, Romance",5.0,1.0,0.060645
City of Industry,"Crime, Thriller, Drama",5.6,14.0,1.922014
Best Men,"Comedy, Romance",5.6,8.0,6.610419
Jungle 2 Jungle,"Comedy, Family",4.9,122.0,12.640569
Kama Sutra - A Tale of Love,"Drama, History, Romance",5.7,36.0,7.124652
Private Parts,"Comedy, Drama",6.7,106.0,10.928417
Love Jones,"Comedy, Drama, Romance",8.1,12.0,1.251862
The Saint,"Thriller, Action, Romance, Science Fiction, Adventure",5.9,310.0,10.97633
Smilla's Sense of Snow,"Action, Crime, Drama, Mystery, Thriller",6.6,61.0,3.132331
The Van,"Comedy, Drama",5.9,15.0,1.13412
Crash,"Drama, Thriller, Romance",6.5,224.0,7.540612
The Daytrippers,"Comedy, Drama, Mystery",6.2,11.0,9.664735
Liar Liar,Comedy,6.4,1456.0,10.102471
The Quiet Room,"Drama, Foreign",5.0,1.0,0.064705
Selena,Drama,7.1,115.0,7.390306
The Devil's Own,"Crime, Thriller, Drama",5.9,300.0,10.675073
Cats Don't Dance,"Animation, Comedy, Family, Music",7.1,25.0,3.406836
B.A.P.S.,"Action, Comedy",4.2,13.0,1.56098
Love and Other Catastrophes,"Comedy, Romance",5.8,9.0,0.915298
Turbo: A Power Rangers Movie,"Action, Adventure, Family, Fantasy, Science Fiction, Thriller",4.6,60.0,5.436745
Anna Karenina,"Drama, Romance",6.4,26.0,5.660835
Double Team,"Action, Science Fiction",4.4,163.0,5.452961
Inventing the Abbotts,"Drama, Romance",6.4,43.0,5.063701
Anaconda,"Adventure, Horror, Thriller",4.8,624.0,14.386089
Grosse Pointe Blank,"Action, Comedy, Thriller, Romance",6.9,278.0,7.556814
Keys to Tulsa,"Crime, Drama, Thriller",4.9,5.0,1.323422
Kissed,"Romance, Drama",7.0,21.0,2.056754
8 Heads in a Duffel Bag,"Comedy, Crime",5.4,39.0,5.666701
Hollow Reed,Drama,6.8,6.0,0.261217
Paradise Road,"War, Drama, History",6.2,21.0,1.462139
Traveller,"Drama, Crime",5.9,6.0,2.166773
All Over Me,"Drama, Romance",5.9,15.0,4.06745
A Brother's Kiss,Drama,8.0,1.0,0.92491
A Chef in Love,"Drama, Comedy, Romance, Foreign",3.5,2.0,0.631834
Romy and Michele's High School Reunion,Comedy,6.0,160.0,5.889414
Temptress Moon,"Drama, Foreign, Romance",7.2,6.0,1.136222
Volcano,"Science Fiction, Action, Drama, Thriller",5.2,387.0,13.147917
Children of the Revolution,"Comedy, Drama",5.3,9.0,1.129648
Austin Powers: International Man of Mystery,"Science Fiction, Comedy, Crime",6.5,1033.0,11.749159
Breakdown,"Drama, Action, Thriller",6.6,202.0,7.926621
Broken English,"Romance, Drama",7.0,2.0,0.369118
Commandments,"Comedy, Drama, Romance",5.3,5.0,0.225707
Ripe,Drama,4.0,4.0,0.773608
"Truth or Consequences, N.M.","Action, Crime, Drama, Romance, Thriller",5.7,15.0,2.26858
The Turning,Drama,0.0,0.0,0.129847
Warriors of Virtue,"Fantasy, Family, Action",4.7,9.0,0.719444
Fathers' Day,"Comedy, Family",5.1,77.0,5.295556
The Fifth Element,"Adventure, Fantasy, Action, Thriller, Science Fiction",7.3,3962.0,24.30526
Intimate Relations,,8.0,1.0,1.372838
Nowhere,"Science Fiction, Drama, Comedy",6.3,27.0,3.324489
Losing Chase,"Drama, Romance",3.9,6.0,0.901452
Sprung,"Comedy, Romance",5.0,7.0,1.511388
The Promise,"Drama, Romance",5.0,1.0,0.122178
Le Bonheur,"Drama, Romance",7.0,21.0,0.792486
Love! Valour! Compassion!,Drama,5.7,10.0,1.7442
Shall We Dance?,"Music, Comedy, Drama, Romance",7.2,35.0,1.963402
The Second Jungle Book: Mowgli & Baloo,"Adventure, Family",3.2,5.0,0.285487
Twin Town,"Comedy, Drama",6.6,29.0,1.651546
Addicted to Love,"Comedy, Romance",6.1,112.0,8.085194
Brassed Off,"Comedy, Romance, Drama",6.9,53.0,3.117071
The Designated Mourner,,8.0,2.0,0.152272
The Lost World: Jurassic Park,"Adventure, Action, Science Fiction",6.2,2528.0,0.788123
Ponette,"Drama, Foreign",7.5,11.0,0.409967
Schizopolis,Comedy,6.4,22.0,2.438198
Shiloh,"Drama, Family",5.7,17.0,2.89449
The War at Home,Drama,6.9,7.0,0.893464
Rough Magic,"Comedy, Drama, Romance, Fantasy",6.3,7.0,0.476919
Trial and Error,"Comedy, Romance",5.3,17.0,2.683782
Buddy,"Adventure, Comedy, Family",3.9,13.0,2.022706
Con Air,"Action, Thriller, Crime",6.5,1289.0,11.545982
Late Bloomers,,4.0,1.0,0.071497
The Pillow Book,"Drama, Foreign, Romance",6.9,41.0,2.690319
To Have (Or Not),"Drama, Romance",0.0,0.0,0.014329
Speed 2: Cruise Control,"Action, Adventure, Thriller",4.1,439.0,11.268531
Squeeze,"Crime, Drama",6.0,1.0,0.321515
Sudden Manhattan,"Comedy, Thriller",6.0,1.0,0.344303
The Next Step,,0.0,0.0,0.001247
Wedding Bell Blues,"Comedy, Romance",5.5,2.0,0.886134
Batman & Robin,"Action, Crime, Fantasy",4.2,1447.0,17.038824
Dream with the Fishes,Comedy,7.7,10.0,0.684192
Roseanna's Grave,"Comedy, Romance, Drama",6.3,4.0,1.081043
Head Above Water,"Comedy, Thriller",5.8,39.0,2.357791
Hercules,"Animation, Family, Fantasy, Adventure, Comedy, Romance",7.3,1741.0,14.048694
The Last Time I Committed Suicide,Drama,6.7,7.0,1.380375
MURDER and murder,"Drama, Romance",8.0,2.0,0.076975
My Best Friend's Wedding,"Comedy, Romance",6.4,606.0,4.678572
Tetsuo II: Body Hammer,"Science Fiction, Horror, Drama, Thriller",5.6,24.0,2.018292
When the Cat's Away,Comedy,6.1,16.0,0.834917
Contempt,Drama,7.5,138.0,7.543337
Face/Off,"Action, Crime, Science Fiction, Thriller",6.8,1612.0,11.467391
Fall,"Drama, Romance",7.2,6.0,1.555954
Gabbeh,"Drama, Mystery, Romance",7.5,6.0,1.052071
Mondo,Drama,7.0,3.0,0.311968
The Innocent Sleep,Thriller,0.0,0.0,1.221766
For Ever Mozart,"Drama, Comedy, War",8.0,3.0,0.413422
Men in Black,"Action, Adventure, Comedy, Science Fiction",6.9,4521.0,15.781024
Out to Sea,"Comedy, Romance",5.8,20.0,3.722389
Wild America,Family,5.8,28.0,7.477411
A Simple Wish,"Adventure, Comedy, Family, Fantasy",5.5,46.0,3.354869
Contact,"Drama, Science Fiction, Mystery",7.2,1338.0,14.374866
Love Serenade,"Comedy, Foreign, Romance",6.0,4.0,0.881482
G.I. Jane,"Action, Drama",6.0,404.0,9.37934
Conan the Barbarian,"Adventure, Fantasy, Action",6.6,663.0,10.52008
George of the Jungle,"Adventure, Comedy, Family, Romance",5.4,508.0,9.559685
Cop Land,"Action, Crime, Drama",6.6,384.0,9.15931
Event Horizon,"Horror, Science Fiction, Mystery",6.4,752.0,11.335072
Spawn,"Action, Adventure, Fantasy, Horror, Science Fiction, Thriller",5.0,344.0,11.366417
Air Bud,"Comedy, Family, Drama",5.3,108.0,9.407128
Picture Perfect,"Comedy, Romance",5.1,114.0,4.347079
In the Company of Men,"Comedy, Drama",6.8,45.0,3.323672
Free Willy 3: The Rescue,Adventure,5.6,76.0,6.107833
Career Girls,Drama,7.4,15.0,3.459251
Conspiracy Theory,"Action, Drama, Mystery, Thriller",6.5,440.0,14.261798
Desperate Measures,"Action, Drama, Thriller",5.9,60.0,3.713996
Steel,"Science Fiction, Action, Adventure",4.2,49.0,2.890462
She's So Lovely,"Drama, Romance, Thriller",5.3,26.0,2.314911
Hoodlum,"Crime, Drama",6.5,33.0,2.384882
Leave it to Beaver,"Adventure, Comedy, Drama, Family",5.2,20.0,1.635911
Mimic,"Fantasy, Horror, Thriller",5.7,255.0,9.128905
Money Talks,"Action, Adventure, Comedy",6.0,90.0,13.855037
Excess Baggage,"Action, Comedy, Romance",5.6,56.0,3.714997
Kull the Conqueror,"Adventure, Fantasy, Action, Science Fiction",5.2,39.0,3.324195
Air Force One,"Action, Thriller",6.2,859.0,12.173291
One Eight Seven,"Drama, Thriller",6.5,141.0,6.476493
The Hunt for Red October,"Action, Adventure, Thriller",7.2,971.0,15.91126
My Own Private Idaho,"Drama, Romance",7.1,218.0,7.289727
"Kiss Me, Guido",Comedy,4.4,10.0,0.910655
Star Maps,"Comedy, Drama",5.3,3.0,0.725694
In & Out,"Comedy, Romance",6.3,181.0,9.949805
The Edge,"Action, Adventure, Drama",6.8,359.0,15.174973
The Peacemaker,"Action, Thriller",5.8,263.0,8.868114
L.A. Confidential,"Crime, Drama, Mystery, Thriller",7.7,1340.0,10.989442
Seven Years in Tibet,"Adventure, Drama, History",7.0,644.0,11.483493
Kiss the Girls,"Drama, Mystery, Thriller, Crime",6.2,353.0,12.235391
Soul Food,"Comedy, Drama",6.6,19.0,2.647781
Kicked in the Head,"Comedy, Crime, Drama, Romance",5.0,1.0,0.07992
Wishmaster,Horror,5.6,114.0,5.215107
A Thousand Acres,Drama,5.7,11.0,0.82942
The Game,"Drama, Thriller, Mystery",7.5,1556.0,14.825587
Fire Down Below,"Action, Adventure, Crime, Thriller",5.0,91.0,7.83099
